"Date","URL","Title","Site","Tags"
"10/01/2014","http://community.thecord.ca/blog/2014/01/10/2014-election-watch/","2014 election watch","The Cord","waterloo"
"29/01/2014","http://www.570news.com/2014/01/29/whos-running/","Who’s running","570 News","all"
"04/02/2014","http://www.570news.com/2014/02/04/kitchener-will-have-a-new-mayor-in-the-fall/","Kitchener will have a new mayor in the fall","570 News","kitchener"
"07/02/2014","http://community.thecord.ca/blog/2014/02/07/election-watch-2014-the-lrt-has-left-the-station-time-for-candidates-to-move-on/","ELECTION WATCH 2014: The LRT has left the station","The Cord","waterloo"
"18/02/2014","http://www.570news.com/2014/02/18/former-waterloo-cfo-running-for-council/","Former Waterloo CFO running for council","570 News","waterloo"
"27/02/2014","http://www.570news.com/2014/02/27/cambridge-ward-5-councillor-pam-wolf-running-for-re-election/","Cambridge Ward 5 Councillor Pam Wolf running for re-election","570 News","cambridge"
"07/03/2014","http://www.570news.com/2014/03/07/cambridge-council-to-introduce-new-voting-options/","Cambridge council to introduce new voting options","570 News","cambridge"
"19/03/2014","http://www.newhamburgindependent.ca/news/let-the-election-campaigns-begin/","Let the election campaigns begin","New Hamburg Independent","wilmot"
"20/03/2014","http://www.570news.com/2014/03/20/a-4th-candidate-for-mayor-of-waterloo/","A 4th candidate for mayor of Waterloo","570 News","waterloo"
"21/03/2014","http://www.570news.com/2014/03/21/vrbanovic-to-talk-political-future/","Vrbanovic to run for Mayor of Kitchener","570 News","kitchener"
"25/03/2014","http://www.570news.com/2014/03/25/craig-seeking-re-election-in-cambridge/","Craig seeking re-election in Cambridge","570 News","cambridge"
"26/03/2014","http://www.therecord.com/news-story/4430581-mayor-doug-craig-seeking-fifth-term/","Mayor Doug Craig seeking fifth term","The Record","cambridge"
"28/03/2014","http://www.570news.com/2014/03/28/now-three-in-race-for-kitcheners-ward-two/","Now three in race for Kitchener’s Ward Two","570 News","kitchener"
"05/04/2014","http://community.thecord.ca/blog/2014/04/05/dear-mayoral-candidates-an-open-letter/","Dear mayoral candidates: an open letter","The Cord","waterloo"
"25/04/2014","http://observerxtra.com/another-candidate-joins-the-fray-in-woolwichs-ward-3/","Another candidate joins the fray in Woolwich’s Ward 3","ObserverXtra","woolwich"
"28/04/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-woolwich-s-todd-cowan-1.2623982","Waterloo Region votes: 5 questions for Woolwich's Todd Cowan","CBC","woolwich"
"29/04/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-cambridge-s-doug-craig-1.2622187","Waterloo Region votes: 5 questions for Cambridge's Doug Craig","CBC","cambridge"
"30/04/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-north-dumfries-sue-foxton-1.2625755","Waterloo Region votes: 5 questions for North Dumfries' Sue Foxton","CBC","north-dumfries"
"30/04/2014","http://www.newhamburgindependent.ca/news/kelterborn-will-retire-as-two-councillors-compete-to-become-wellesley-mayor/","Ross Kelterborn will retire as two councillors compete to become Wellesley’s next mayor","New Hamburg Independent","wellesley"
"01/05/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-kitchener-s-dan-glenn-graham-1.2625799","Waterloo Region votes: 5 questions for Kitchener's Dan Glenn-Graham","CBC","kitchener"
"02/05/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-wellesley-s-paul-hergott-1.2625815","Waterloo Region votes: 5 questions for Wellesley's Paul Hergott","CBC","wellesley"
"05/05/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-waterloo-s-dave-jaworsky-1.2632237","Waterloo Region votes: 5 questions for Waterloo's Dave Jaworsky","CBC","waterloo"
"07/05/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-wellesley-s-jim-olender-1.2634724","Waterloo Region votes: 5 questions for Wellesley's Jim Olender","CBC","wellesley"
"08/05/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-waterloo-s-rami-said-1.2634901","Waterloo Region votes: 5 questions for Waterloo's Rami Said","CBC","waterloo"
"09/05/2014","http://observerxtra.com/two-new-candidates-toss-their-hats-in-for-wellesleys-ward-4/","Two new candidates toss their hats in for Wellesley’s Ward 4","ObserverXtra","wellesley"
"09/05/2014","http://community.thecord.ca/blog/2014/05/09/wheres-the-tech-savvy-mayor-for-a-tech-savvy-town/","Where’s the tech-savvy mayor for a tech savvy town?","The Cord","waterloo"
"12/05/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-woolwich-s-sandy-shantz-1.2639712","Waterloo Region votes: 5 questions for Woolwich's Sandy Shantz","CBC","woolwich"
"13/05/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-waterloo-s-erika-traub-1.2641502","Waterloo Region votes: 5 questions for Waterloo's Erika Traub","CBC","waterloo"
"14/05/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-kitchener-s-berry-vrbanovic-1.2642800","Waterloo Region Votes: 5 Questions for Kitchener's Berry Vrbanovic","CBC","kitchener"
"16/05/2014","http://observerxtra.com/first-candidate-steps-up-in-wellesleys-ward-3/","First candidate steps up in Wellesley’s Ward 3","ObserverXtra","wellesley"
"21/05/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-waterloo-s-dave-macdonald-1.2649461","Waterloo Region Votes: 5 questions for Waterloo's Dave MacDonald","CBC","waterloo"
"30/05/2014","http://observerxtra.com/another-candidate-enters-race-for-wellesley-ward-1/","Another candidate enters race for Wellesley Ward 1","ObserverXtra","wellesley"
"11/06/2014","http://www.waterloochronicle.ca/news/two-more-join-the-race-for-city-council-seats/","Two more join the race for city council seats","Waterloo Chronicle","waterloo"
"18/06/2014","http://www.570news.com/2014/06/18/chair-of-catholic-school-board-to-run-for-city-council/","Chair of Catholic school board to run for city council","570 News","kitchener"
"20/06/2014","http://www.570news.com/2014/06/20/rematch-in-cambridge-for-mayors-seat/","Rematch in Cambridge for Mayor’s seat","570 News","cambridge"
"20/06/2014","http://observerxtra.com/former-councillor-nowak-joins-wellesley-mayoral-race/","Former councillor Nowak joins Wellesley mayoral race","ObserverXtra","wellesley"
"27/06/2014","http://observerxtra.com/another-candidate-joins-the-race-for-woolwich-ward-1/","Another candidate joins the race for Woolwich Ward 1","ObserverXtra","woolwich"
"03/07/2014","http://community.thecord.ca/blog/2014/07/03/elections-call-for-digitized-information-hub/","Elections call for digitized information hub","The Cord","all"
"04/07/2014","http://www.kitchenerpost.ca/news/ward-1-candidate-currently-uncontested-2/","Ward 1 candidate currently uncontested","Kitchener Post","kitchener"
"04/07/2014","http://observerxtra.com/third-candidate-enters-the-race-for-ward-4-in-wellesley/","Third candidate enters the race for Ward 4 in Wellesley","ObserverXtra","wellesley"
"09/07/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-cambridge-s-linda-whetham-1.2700155","Waterloo Region Votes: 5 questions for Cambridge's Linda Whetham","CBC","cambridge"
"09/07/2014","http://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-votes-5-questions-for-kitchener-s-peter-martin-1.2700101","Waterloo Region Votes: 5 Questions for Kitchener's Peter Martin","CBC","kitchener"
"10/07/2014","http://www.kitchenerpost.ca/news/kitchener-votes-ward-2-chris-letizi/","Kitchener Votes Ward 2: Chris Letizi","Kitchener Post","kitchener"
"10/07/2014","http://www.kitchenerpost.ca/news/kitchener-votes-ward-2-dan-graham/","Kitchener Votes Ward 2: Dan Graham","Kitchener Post","kitchener"
"10/07/2014","http://www.kitchenerpost.ca/news/kitchener-votes-ward-2-grayson-zeilstra/","Kitchener Votes Ward 2: Grayson Zeilstra","Kitchener Post","kitchener"
"11/07/2014","http://observerxtra.com/another-candidate-joins-race-for-woolwichs-ward-3/","Another candidate joins race for Woolwich’s Ward 3","ObserverXtra","woolwich"
"11/07/2014","http://observerxtra.com/ward-3s-bryant-seeks-woolwich-mayors-seat/","Ward 3’s Bryant seeks Woolwich mayor’s seat","ObserverXtra","woolwich"
"17/07/2014","http://www.kitchenerpost.ca/news/kitchener-votes-ward-3-john-gazzola/","Kitchener Votes Ward 3: John Gazzola","Kitchener Post","kitchener"
"18/07/2014","http://observerxtra.com/new-entrant-makes-it-a-race-in-ward-1/","New entrant makes it a race in Ward 1","ObserverXtra","woolwich"
